Number,Name,Year,Title,Journal,Volume,Issue,Pages,Notes
120,"Maiti, R., Rodriguez, H., Kumari, A.",2019,"Wood carbon & nitrogen of 37 woody shrubs & trees in Tamaulipan thorn scrub, northeastern Mexico",Pakistan Journal of Botany,51,3,979-984,
121,"Isaac M. E., Martin A. R., de Melo Virginio Filho E., Rapidel B., Roupsard O & van den Meersche K.",2017,Intraspecific Trait Variation & Coordination: Root & Leaf Economics Spectra in Coffee across Environmental Gradients,Frontiers in Plant Science,8,1196,NA,
122,"Liu C., Xiang W., Zou L., Lei P., Zeng Y., Ouyang S., Deng X., Fang X., Liu Z. & Peng C.",2019,Variation in the functional traits of fine roots is linked to phylogenetics in the common tree species of Chinese subtropical forests,Plant and Soil,436,,347-364,
123,"Wang R., Wang Q., Zhao N., Xu Z., Zhu X., Jiao C., Yu G. & He N.",2018,Different phylogenetic & environmental controls of first-order root morphological & nutrient traits: Evidence of multidimensional root traits,Forest Ecology,32,,29-39,
124,Minden V. & Michael K.,2014,Internal and external regulation of plant organ stoichiometry,Plant Biology,16,,897-907,
125,Alameda D. & Villar R. ,2012,Linking root traits to plant physiology and growth in Fraxinus angustifolia Vahl. seedlings under soil compaction conditions,Environmental and Experimental Botany,79,,49-57,
126,"Aubin, I., Munson, A. D., Cardou, F., Burton, P. J., Isabel, N., Pedlar, J. H., Paquette, A., Taylor, A. R., Delagrange, S., Kebli, H., Messier, C., Shipley, B., Valladares, F., Kattge, J., Boisvert-Marsh, L., McKenney, D. (2016)  Environmental Reviews 24:164-186 doi:10.1139/er-2015-0072",2016,"Traits to stay, traits to move: a review of functional traits to assess sensitivity and adaptive capacity of temperate and boreal trees to climate change.",Environmental Reviews ,24,,1-23,
127,"Fernández-García, N., Olmos, E. Bardisi, García-De la Garma, J., López-Berenguer & C., Rubio-Asensio, J. S.",2014,"Intrinsic water use efficiency controls the adaptation to high salinity in a semi-arid adapted plant, henna (Lawsonia inermis L.)",Journal of Plant Physiology,171,5,64-75,
128,"Grechi, I., Vivin, P., Hilbert, G., Milin, S., Robert, T., Gaudillère, J.P.",2007,Effect of light and nitrogen supply on internal C:N balance and control of root-to-shoot biomass allocation in grapevine,Environmental and Experimental Botany,59,2,139-149,
129,"Ineson P., Cotrufo M.F.,  I , Bol R.,  Harkness D. D., & Blum H. ",1996,Quantification of soil carbon inputs under elevated CO2: C3 plants in a C4 soil,Plant and Soil,187,,345-350,
